模块名,类名,方法名,函数,类型,SysCap,权限,支持起始版本,访问级别,是否为卡片,是否支持跨平台
ohos.ability.particleAbility,particleAbility,startBackgroundRunning,"function startBackgroundRunning(id: number, request: NotificationRequest, callback: AsyncCallback<void>): void;",Method,SystemCapability.ResourceSchedule.BackgroundTaskManager.ContinuousTask,ohos.permission.KEEP_BACKGROUND_RUNNING,7,,否,否
ohos.ability.particleAbility,particleAbility,startBackgroundRunning,"function startBackgroundRunning(id: number, request: NotificationRequest): Promise<void>;",Method,SystemCapability.ResourceSchedule.BackgroundTaskManager.ContinuousTask,ohos.permission.KEEP_BACKGROUND_RUNNING,7,,否,否
ohos.ability.screenLockFileManager,screenLockFileManager,acquireAccess,function acquireAccess(dataType: DataType): AccessStatus;,Method,SystemCapability.Security.ScreenLockFileManager,ohos.permission.ACCESS_SCREEN_LOCK_MEDIA_DATA or ohos.permission.ACCESS_SCREEN_LOCK_ALL_DATA,12,,否,否
ohos.ability.screenLockFileManager,screenLockFileManager,releaseAccess,function releaseAccess(dataType: DataType): ReleaseStatus;,Method,SystemCapability.Security.ScreenLockFileManager,ohos.permission.ACCESS_SCREEN_LOCK_MEDIA_DATA or ohos.permission.ACCESS_SCREEN_LOCK_ALL_DATA,12,,否,否
ohos.abilityAccessCtrl,AtManager,grantUserGrantedPermission,"grantUserGrantedPermission(tokenID: number, permissionName: Permissions, permissionFlags: number): Promise<void>;",Method,SystemCapability.Security.AccessToken,ohos.permission.GRANT_SENSITIVE_PERMISSIONS,8,,否,否
ohos.abilityAccessCtrl,AtManager,grantUserGrantedPermission,"grantUserGrantedPermission(
      tokenID: number,
      permissionName: Permissions,
      permissionFlags: number,
      callback: AsyncCallback<void>
    ): void;",Method,SystemCapability.Security.AccessToken,ohos.permission.GRANT_SENSITIVE_PERMISSIONS,8,,否,否
ohos.abilityAccessCtrl,AtManager,revokeUserGrantedPermission,"revokeUserGrantedPermission(tokenID: number, permissionName: Permissions, permissionFlags: number): Promise<void>;",Method,SystemCapability.Security.AccessToken,ohos.permission.REVOKE_SENSITIVE_PERMISSIONS,8,,否,否
ohos.abilityAccessCtrl,AtManager,revokeUserGrantedPermission,"revokeUserGrantedPermission(
      tokenID: number,
      permissionName: Permissions,
      permissionFlags: number,
      callback: AsyncCallback<void>
    ): void;",Method,SystemCapability.Security.AccessToken,ohos.permission.REVOKE_SENSITIVE_PERMISSIONS,8,,否,否
ohos.abilityAccessCtrl,AtManager,getPermissionFlags,"getPermissionFlags(tokenID: number, permissionName: Permissions): Promise<number>;",Method,SystemCapability.Security.AccessToken,ohos.permission.GET_SENSITIVE_PERMISSIONS or ohos.permission.GRANT_SENSITIVE_PERMISSIONS or ohos.permission.REVOKE_SENSITIVE_PERMISSIONS,8,,否,否
ohos.abilityAccessCtrl,AtManager,setPermissionRequestToggleStatus,"setPermissionRequestToggleStatus(permissionName: Permissions, status: PermissionRequestToggleStatus): Promise<void>;",Method,SystemCapability.Security.AccessToken,ohos.permission.DISABLE_PERMISSION_DIALOG,12,,否,否
ohos.abilityAccessCtrl,AtManager,getPermissionRequestToggleStatus,getPermissionRequestToggleStatus(permissionName: Permissions): Promise<PermissionRequestToggleStatus>;,Method,SystemCapability.Security.AccessToken,ohos.permission.GET_SENSITIVE_PERMISSIONS,12,,否,否
ohos.abilityAccessCtrl,AtManager,getPermissionsStatus,"getPermissionsStatus(tokenID: number, permissionList: Array<Permissions>): Promise<Array<PermissionStatus>>;",Method,SystemCapability.Security.AccessToken,ohos.permission.GET_SENSITIVE_PERMISSIONS,12,,否,否
ohos.accessibility.config,config,enableAbility,"function enableAbility(name: string, capability: Array<accessibility.Capability>): Promise<void>;",Method,SystemCapability.BarrierFree.Accessibility.Core,ohos.permission.WRITE_ACCESSIBILITY_CONFIG,9,,否,否
ohos.accessibility.config,config,enableAbility,"function enableAbility(
    name: string,
    capability: Array<accessibility.Capability>,
    callback: AsyncCallback<void>
  ): void;",Method,SystemCapability.BarrierFree.Accessibility.Core,ohos.permission.WRITE_ACCESSIBILITY_CONFIG,9,,否,否
ohos.accessibility.config,config,disableAbility,function disableAbility(name: string): Promise<void>;,Method,SystemCapability.BarrierFree.Accessibility.Core,ohos.permission.WRITE_ACCESSIBILITY_CONFIG,9,,否,否
ohos.accessibility.config,config,disableAbility,"function disableAbility(name: string, callback: AsyncCallback<void>): void;",Method,SystemCapability.BarrierFree.Accessibility.Core,ohos.permission.WRITE_ACCESSIBILITY_CONFIG,9,,否,否
ohos.accessibility.config,Config,set,set(value: T): Promise<void>;,Method,SystemCapability.BarrierFree.Accessibility.Core,ohos.permission.WRITE_ACCESSIBILITY_CONFIG,9,,否,否
ohos.accessibility.config,Config,set,"set(value: T, callback: AsyncCallback<void>): void;",Method,SystemCapability.BarrierFree.Accessibility.Core,ohos.permission.WRITE_ACCESSIBILITY_CONFIG,9,,否,否
ohos.account.appAccount,AppAccountManager,checkAppAccountSyncEnable,"checkAppAccountSyncEnable(name: string, callback: AsyncCallback<boolean>): void;",Method,SystemCapability.Account.AppAccount,ohos.permission.DISTRIBUTED_DATASYNC,7,,否,否
ohos.account.appAccount,AppAccountManager,checkAppAccountSyncEnable,checkAppAccountSyncEnable(name: string): Promise<boolean>;,Method,SystemCapability.Account.AppAccount,ohos.permission.DISTRIBUTED_DATASYNC,7,,否,否
ohos.account.appAccount,AppAccountManager,checkDataSyncEnabled,"checkDataSyncEnabled(name: string, callback: AsyncCallback<boolean>): void;",Method,SystemCapability.Account.AppAccount,ohos.permission.DISTRIBUTED_DATASYNC,9,,否,否
ohos.account.appAccount,AppAccountManager,checkDataSyncEnabled,checkDataSyncEnabled(name: string): Promise<boolean>;,Method,SystemCapability.Account.AppAccount,ohos.permission.DISTRIBUTED_DATASYNC,9,,否,否
ohos.account.appAccount,AppAccountManager,setAppAccountSyncEnable,"setAppAccountSyncEnable(name: string, isEnable: boolean, callback: AsyncCallback<void>): void;",Method,SystemCapability.Account.AppAccount,ohos.permission.DISTRIBUTED_DATASYNC,7,,否,否
ohos.account.appAccount,AppAccountManager,setAppAccountSyncEnable,"setAppAccountSyncEnable(name: string, isEnable: boolean): Promise<void>;",Method,SystemCapability.Account.AppAccount,ohos.permission.DISTRIBUTED_DATASYNC,7,,否,否
ohos.account.appAccount,AppAccountManager,setDataSyncEnabled,"setDataSyncEnabled(name: string, isEnabled: boolean, callback: AsyncCallback<void>): void;",Method,SystemCapability.Account.AppAccount,ohos.permission.DISTRIBUTED_DATASYNC,9,,否,否
ohos.account.appAccount,AppAccountManager,setDataSyncEnabled,"setDataSyncEnabled(name: string, isEnabled: boolean): Promise<void>;",Method,SystemCapability.Account.AppAccount,ohos.permission.DISTRIBUTED_DATASYNC,9,,否,否
ohos.account.appAccount,AppAccountManager,getAllAccessibleAccounts,getAllAccessibleAccounts(callback: AsyncCallback<Array<AppAccountInfo>>): void;,Method,SystemCapability.Account.AppAccount,ohos.permission.GET_ALL_APP_ACCOUNTS,7,,否,否
ohos.account.appAccount,AppAccountManager,getAllAccessibleAccounts,getAllAccessibleAccounts(): Promise<Array<AppAccountInfo>>;,Method,SystemCapability.Account.AppAccount,ohos.permission.GET_ALL_APP_ACCOUNTS,7,,否,否
ohos.account.appAccount,AppAccountManager,getAllAccounts,"getAllAccounts(owner: string, callback: AsyncCallback<Array<AppAccountInfo>>): void;",Method,SystemCapability.Account.AppAccount,ohos.permission.GET_ALL_APP_ACCOUNTS,7,,否,否
ohos.account.appAccount,AppAccountManager,getAllAccounts,getAllAccounts(owner: string): Promise<Array<AppAccountInfo>>;,Method,SystemCapability.Account.AppAccount,ohos.permission.GET_ALL_APP_ACCOUNTS,7,,否,否
ohos.account.distributedAccount,DistributedAccountAbility,queryOsAccountDistributedInfo,queryOsAccountDistributedInfo(callback: AsyncCallback<DistributedInfo>): void;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.DISTRIBUTED_DATASYNC,7,,否,否
ohos.account.distributedAccount,DistributedAccountAbility,queryOsAccountDistributedInfo,queryOsAccountDistributedInfo(): Promise<DistributedInfo>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.DISTRIBUTED_DATASYNC,7,,否,否
ohos.account.distributedAccount,DistributedAccountAbility,getOsAccountDistributedInfo,getOsAccountDistributedInfo(callback: AsyncCallback<DistributedInfo>): void;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_DISTRIBUTED_ACCOUNTS or ohos.permission.GET_DISTRIBUTED_ACCOUNTS or ohos.permission.DISTRIBUTED_DATASYNC,9,,否,否
ohos.account.distributedAccount,DistributedAccountAbility,getOsAccountDistributedInfo,getOsAccountDistributedInfo(): Promise<DistributedInfo>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_DISTRIBUTED_ACCOUNTS or ohos.permission.GET_DISTRIBUTED_ACCOUNTS or ohos.permission.DISTRIBUTED_DATASYNC,9,,否,否
ohos.account.distributedAccount,DistributedAccountAbility,getOsAccountDistributedInfoByLocalId,"getOsAccountDistributedInfoByLocalId(localId: number, callback: AsyncCallback<DistributedInfo>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_DISTRIBUTED_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,10,,否,否
ohos.account.distributedAccount,DistributedAccountAbility,getOsAccountDistributedInfoByLocalId,getOsAccountDistributedInfoByLocalId(localId: number): Promise<DistributedInfo>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_DISTRIBUTED_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,10,,否,否
ohos.account.distributedAccount,DistributedAccountAbility,updateOsAccountDistributedInfo,"updateOsAccountDistributedInfo(accountInfo: DistributedInfo, callback: AsyncCallback<void>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.distributedAccount,DistributedAccountAbility,updateOsAccountDistributedInfo,updateOsAccountDistributedInfo(accountInfo: DistributedInfo): Promise<void>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.distributedAccount,DistributedAccountAbility,setOsAccountDistributedInfo,"setOsAccountDistributedInfo(accountInfo: DistributedInfo, callback: AsyncCallback<void>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_DISTRIBUTED_ACCOUNTS,9,,否,否
ohos.account.distributedAccount,DistributedAccountAbility,setOsAccountDistributedInfo,setOsAccountDistributedInfo(accountInfo: DistributedInfo): Promise<void>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_DISTRIBUTED_ACCOUNTS,9,,否,否
ohos.account.distributedAccount,DistributedAccountAbility,setOsAccountDistributedInfoByLocalId,"setOsAccountDistributedInfoByLocalId(
      localId: number,
      distributedInfo: DistributedInfo,
      callback: AsyncCallback<void>
    ): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_DISTRIBUTED_ACCOUNTS,10,,否,否
ohos.account.distributedAccount,DistributedAccountAbility,setOsAccountDistributedInfoByLocalId,"setOsAccountDistributedInfoByLocalId(localId: number, distributedInfo: DistributedInfo): Promise<void>;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_DISTRIBUTED_ACCOUNTS,10,,否,否
ohos.account.osAccount,AccountManager,activateOsAccount,"activateOsAccount(localId: number, callback: AsyncCallback<void>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS_EXTENSION,12,,否,否
ohos.account.osAccount,AccountManager,activateOsAccount,activateOsAccount(localId: number): Promise<void>;,Method,SystemCapability.Account.OsAccount,ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS_EXTENSION,12,,否,否
ohos.account.osAccount,AccountManager,deactivateOsAccount,deactivateOsAccount(localId: number): Promise<void>;,Method,SystemCapability.Account.OsAccount,ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS_EXTENSION,12,,否,否
ohos.account.osAccount,AccountManager,isOsAccountActived,"isOsAccountActived(localId: number, callback: AsyncCallback<boolean>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,isOsAccountActived,isOsAccountActived(localId: number): Promise<boolean>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,checkOsAccountActivated,"checkOsAccountActivated(localId: number, callback: AsyncCallback<boolean>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,9,,否,否
ohos.account.osAccount,AccountManager,checkOsAccountActivated,checkOsAccountActivated(localId: number): Promise<boolean>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,9,,否,否
ohos.account.osAccount,AccountManager,isOsAccountActivated,isOsAccountActivated(localId: number): Promise<boolean>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,11,,否,否
ohos.account.osAccount,AccountManager,isOsAccountConstraintEnable,"isOsAccountConstraintEnable(localId: number, constraint: string, callback: AsyncCallback<boolean>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,isOsAccountConstraintEnable,"isOsAccountConstraintEnable(localId: number, constraint: string): Promise<boolean>;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,checkOsAccountConstraintEnabled,"checkOsAccountConstraintEnabled(localId: number, constraint: string, callback: AsyncCallback<boolean>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,9,,否,否
ohos.account.osAccount,AccountManager,checkOsAccountConstraintEnabled,"checkOsAccountConstraintEnabled(localId: number, constraint: string): Promise<boolean>;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,9,,否,否
ohos.account.osAccount,AccountManager,isOsAccountConstraintEnabled,"isOsAccountConstraintEnabled(localId: number, constraint: string): Promise<boolean>;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,11,,否,否
ohos.account.osAccount,AccountManager,isOsAccountVerified,isOsAccountVerified(callback: AsyncCallback<boolean>): void;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,isOsAccountVerified,"isOsAccountVerified(localId: number, callback: AsyncCallback<boolean>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,isOsAccountVerified,isOsAccountVerified(localId?: number): Promise<boolean>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,checkOsAccountVerified,"checkOsAccountVerified(localId: number, callback: AsyncCallback<boolean>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,9,,否,否
ohos.account.osAccount,AccountManager,checkOsAccountVerified,checkOsAccountVerified(localId: number): Promise<boolean>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,9,,否,否
ohos.account.osAccount,AccountManager,isOsAccountUnlocked,isOsAccountUnlocked(localId: number): Promise<boolean>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,11,,否,否
ohos.account.osAccount,AccountManager,removeOsAccount,"removeOsAccount(localId: number, callback: AsyncCallback<void>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,removeOsAccount,removeOsAccount(localId: number): Promise<void>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,setOsAccountConstraints,"setOsAccountConstraints(
      localId: number,
      constraints: Array<string>,
      enable: boolean,
      callback: AsyncCallback<void>
    ): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,setOsAccountConstraints,"setOsAccountConstraints(localId: number, constraints: Array<string>, enable: boolean): Promise<void>;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,setOsAccountName,"setOsAccountName(localId: number, localName: string, callback: AsyncCallback<void>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,setOsAccountName,"setOsAccountName(localId: number, localName: string): Promise<void>;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,getCreatedOsAccountsCount,getCreatedOsAccountsCount(callback: AsyncCallback<number>): void;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,getCreatedOsAccountsCount,getCreatedOsAccountsCount(): Promise<number>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,getOsAccountCount,getOsAccountCount(callback: AsyncCallback<number>): void;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,9,,否,否
ohos.account.osAccount,AccountManager,getOsAccountCount,getOsAccountCount(): Promise<number>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,9,,否,否
ohos.account.osAccount,AccountManager,getOsAccountLocalIdFromDomain,"getOsAccountLocalIdFromDomain(domainInfo: DomainAccountInfo, callback: AsyncCallback<number>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,8,,否,否
ohos.account.osAccount,AccountManager,getOsAccountLocalIdFromDomain,getOsAccountLocalIdFromDomain(domainInfo: DomainAccountInfo): Promise<number>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,8,,否,否
ohos.account.osAccount,AccountManager,getOsAccountLocalIdForDomain,"getOsAccountLocalIdForDomain(domainInfo: DomainAccountInfo, callback: AsyncCallback<number>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,9,,否,否
ohos.account.osAccount,AccountManager,getOsAccountLocalIdForDomain,getOsAccountLocalIdForDomain(domainInfo: DomainAccountInfo): Promise<number>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,9,,否,否
ohos.account.osAccount,AccountManager,getOsAccountAllConstraints,"getOsAccountAllConstraints(localId: number, callback: AsyncCallback<Array<string>>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,getOsAccountAllConstraints,getOsAccountAllConstraints(localId: number): Promise<Array<string>>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,getOsAccountConstraints,"getOsAccountConstraints(localId: number, callback: AsyncCallback<Array<string>>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,9,,否,否
ohos.account.osAccount,AccountManager,getOsAccountConstraints,getOsAccountConstraints(localId: number): Promise<Array<string>>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,9,,否,否
ohos.account.osAccount,AccountManager,getEnabledOsAccountConstraints,getEnabledOsAccountConstraints(localId: number): Promise<Array<string>>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,11,,否,否
ohos.account.osAccount,AccountManager,queryAllCreatedOsAccounts,queryAllCreatedOsAccounts(callback: AsyncCallback<Array<OsAccountInfo>>): void;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,queryAllCreatedOsAccounts,queryAllCreatedOsAccounts(): Promise<Array<OsAccountInfo>>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,createOsAccount,"createOsAccount(localName: string, type: OsAccountType, callback: AsyncCallback<OsAccountInfo>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,12,,否,否
ohos.account.osAccount,AccountManager,createOsAccount,"createOsAccount(localName: string, type: OsAccountType, options?: CreateOsAccountOptions): Promise<OsAccountInfo>;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,12,,否,否
ohos.account.osAccount,AccountManager,createOsAccountForDomain,"createOsAccountForDomain(
      type: OsAccountType,
      domainInfo: DomainAccountInfo,
      callback: AsyncCallback<OsAccountInfo>
    ): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,12,,否,否
ohos.account.osAccount,AccountManager,createOsAccountForDomain,"createOsAccountForDomain(type: OsAccountType, domainInfo: DomainAccountInfo, options?: CreateOsAccountForDomainOptions): Promise<OsAccountInfo>;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,12,,否,否
ohos.account.osAccount,AccountManager,queryCurrentOsAccount,queryCurrentOsAccount(callback: AsyncCallback<OsAccountInfo>): void;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,queryCurrentOsAccount,queryCurrentOsAccount(): Promise<OsAccountInfo>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,getCurrentOsAccount,getCurrentOsAccount(callback: AsyncCallback<OsAccountInfo>): void;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.GET_LOCAL_ACCOUNTS,10,,否,否
ohos.account.osAccount,AccountManager,getCurrentOsAccount,getCurrentOsAccount(): Promise<OsAccountInfo>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.GET_LOCAL_ACCOUNTS,10,,否,否
ohos.account.osAccount,AccountManager,queryOsAccount,queryOsAccount(): Promise<OsAccountInfo>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.GET_LOCAL_ACCOUNTS,11,,否,否
ohos.account.osAccount,AccountManager,queryOsAccountById,"queryOsAccountById(localId: number, callback: AsyncCallback<OsAccountInfo>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS_EXTENSION,7,,否,否
ohos.account.osAccount,AccountManager,queryOsAccountById,queryOsAccountById(localId: number): Promise<OsAccountInfo>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS_EXTENSION,7,,否,否
ohos.account.osAccount,AccountManager,getOsAccountDomainInfo,getOsAccountDomainInfo(localId: number): Promise<DomainAccountInfo>;,Method,SystemCapability.Account.OsAccount,ohos.permission.GET_DOMAIN_ACCOUNTS and ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,15,,否,否
ohos.account.osAccount,AccountManager,getOsAccountType,getOsAccountType(localId: number): Promise<OsAccountType>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS or ohos.permission.INTERACT_ACROSS_LOCAL_ACCOUNTS,12,,否,否
ohos.account.osAccount,AccountManager,getDistributedVirtualDeviceId,getDistributedVirtualDeviceId(callback: AsyncCallback<string>): void;,Method,SystemCapability.Account.OsAccount,ohos.permission.DISTRIBUTED_DATASYNC or ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,getDistributedVirtualDeviceId,getDistributedVirtualDeviceId(): Promise<string>;,Method,SystemCapability.Account.OsAccount,ohos.permission.DISTRIBUTED_DATASYNC or ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,queryDistributedVirtualDeviceId,queryDistributedVirtualDeviceId(callback: AsyncCallback<string>): void;,Method,SystemCapability.Account.OsAccount,ohos.permission.DISTRIBUTED_DATASYNC or ohos.permission.MANAGE_LOCAL_ACCOUNTS,9,,否,否
ohos.account.osAccount,AccountManager,queryDistributedVirtualDeviceId,queryDistributedVirtualDeviceId(): Promise<string>;,Method,SystemCapability.Account.OsAccount,ohos.permission.DISTRIBUTED_DATASYNC or ohos.permission.MANAGE_LOCAL_ACCOUNTS,9,,否,否
ohos.account.osAccount,AccountManager,getOsAccountProfilePhoto,"getOsAccountProfilePhoto(localId: number, callback: AsyncCallback<string>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,getOsAccountProfilePhoto,getOsAccountProfilePhoto(localId: number): Promise<string>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,setOsAccountProfilePhoto,"setOsAccountProfilePhoto(localId: number, photo: string, callback: AsyncCallback<void>): void;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,setOsAccountProfilePhoto,"setOsAccountProfilePhoto(localId: number, photo: string): Promise<void>;",Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,7,,否,否
ohos.account.osAccount,AccountManager,isMainOsAccount,isMainOsAccount(callback: AsyncCallback<boolean>): void;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,9,,否,否
ohos.account.osAccount,AccountManager,isMainOsAccount,isMainOsAccount(): Promise<boolean>;,Method,SystemCapability.Account.OsAccount,ohos.permission.MANAGE_LOCAL_ACCOUNTS,9,,否,否
